place_name,sentence_number,sentence,type,texte_fautif,suggestion
Le Refuge de Pantin,1,"Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.",,,Pas d'erreur
Le Refuge de Pantin,2,"Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence.",répétition,et et,et
Le Refuge de Pantin,3,L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.,,,Pas d'erreur
Hors la rue - centre d'appui aux maraudes,1,"Créé en 2004, Hors la rue est une association qui a pour objectif de repérer et d'accompagner les enfants et adolescents étrangers en danger et de faire respecter leurs droits.",orthographe,Créé,Créée
Hors la rue - centre d'appui aux maraudes,2,Elle propose:- Des maraudes auprès de mineurs en situation de rue et d’errance-,,,Pas d'erreur
Hors la rue - centre d'appui aux maraudes,3,Un accompagnement personnalisé et des actions éducatives-,,,Pas d'erreur
Hors la rue - centre d'appui aux maraudes,4,Une orientation et un accompagnement vers le droit commun et la protection de l’enfance-,,,Pas d'erreur
Hors la rue - centre d'appui aux maraudes,5,Un accueil sur rendez-vous avec l’équipe éducative au centre de jour d’appui aux maraudes situé à Montreuil- De l'art-thérapie et un soutien psychologique,orthographe,maraudes,"maraudes -> errance ou itinérance, mais dans le contexte des centres d'appui, 'maraudes' pourrait être remplacé par un terme plus approprié comme 'errance' ou 'personnes en situation d'errance', cependant 'maraudes' n'est pas incorrect dans ce contexte"
Hors la rue - centre d'appui aux maraudes,5,Un accueil sur rendez-vous avec l’équipe éducative au centre de jour d’appui aux maraudes situé à Montreuil- De l'art-thérapie et un soutien psychologique,orthographe,Montreuil-,Montreuil- -> Montreuil
CAARUD PROSES Saint-Denis,1,"Le CAARUD (Centre d’Accueil et d’Accompagnement à la Réduction des Risque pour les Usagers de Drogues) PROSES est un établissement médico-social destiné à accueillir des usagers de drogues dont le but initial est de fournir un accès à du matériel de réduction des risques ainsi que des conseils personnalisés, le tout dans un cadre anonyme confidentiel, et inconditionnel.",,,Pas d'erreur
CAARUD PROSES Saint-Denis,2,"L'accueil est anonyme, gratuit, et dit “à bas seuil d'exigence” : toutes les personnes adultes et consommatrices des drogues dès 18 ans  peuvent venir quelque soit  leur état physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique,  opinions politiques, appartenance religieuse etc.",orthographe,consommatrices,consommatrices des drogues
CAARUD PROSES Saint-Denis,2,"L'accueil est anonyme, gratuit, et dit “à bas seuil d'exigence” : toutes les personnes adultes et consommatrices des drogues dès 18 ans  peuvent venir quelque soit  leur état physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique,  opinions politiques, appartenance religieuse etc.",orthographe,quelque soit,quelle que soit
CAARUD PROSES Montreuil,1,Le CAARUD (Centre d’Accueil et d’Accompagnement à la Réduction des Risque pour les Usagers de Drogues) PROSES est un établissement médico-social qui accueille de manière inconditionnelle et anonyme des usagers de drogues.,,,Pas d'erreur
CAARUD PROSES Montreuil,2,Les rendez-vous pour les soins et services médicaux peuvent être pris les mardis et jeudis.,,,Pas d'erreur
CAARUD Yucca,1,Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de Réduction Des Risques (RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.,,,Pas d'erreur
CAARUD Yucca,2,"L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.",,,Pas d'erreur
CAARUD Yucca,3,Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes,Erreur API,,'NoneType' object is not subscriptable
CAARUD Yucca,4,Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ansL',Erreur API,,'NoneType' object is not subscriptable
CAARUD Yucca,5,équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.,Erreur API,,'NoneType' object is not subscriptable
