place_name,new_description
Le Refuge de Pantin,"Le Refuge est là pour aider les gens. Il les accueille, les héberge et les soutient pour qu'ils aient plus confiance en eux et puissent mieux vivre avec les autres. Le Refuge a trois services : un accueil de jour, une pension de famille et un centre d'hébergement d'urgence. L'accueil de jour est réservé aux femmes le mardi après-midi."
Hors la rue - centre d'appui aux maraudes,"Hors la rue est une association créée en 2004. Elle aide les enfants et adolescents étrangers en danger. L'association propose : des visites auprès des mineurs dans la rue, un accompagnement personnalisé, des activités éducatives, une aide pour accéder à leurs droits, un accueil au centre de jour à Montreuil, de l'art-thérapie et un soutien psychologique."
CAARUD PROSES Saint-Denis,"Le CAARUD PROSES est un lieu d'accueil pour les personnes qui consomment des drogues. Il offre du matériel pour réduire les risques et des conseils personnalisés de manière anonyme et confidentielle. L'accueil est gratuit et ouvert à toutes les personnes de 18 ans et plus, quel que soit leur état de santé, leur apparence, leur orientation sexuelle, leur origine ou leurs opinions. Le but est de fournir une aide sans jugement ni condition."
CAARUD PROSES Montreuil,Le CAARUD PROSES est un lieu qui aide les personnes qui consomment des drogues. Il les accueille sans poser de questions et de manière confidentielle. Vous pouvez prendre rendez-vous pour des soins médicaux les mardis et jeudis.
CAARUD Yucca,"Le CAARUD Yucca est un lieu qui aide les personnes qui consomment des drogues à réduire les risques pour leur santé et leur vie sociale. Il est ouvert du lundi au vendredi de 9h30 à 12h45 pour offrir un accueil collectif, une collation, un déjeuner, une douche et une machine à laver, mais il faut s'inscrire à l'avance. Le mercredi, il y a des ateliers spéciaux pour les femmes. Le CAARUD propose également un programme appelé TAPAJ pour les jeunes de 18 à 25 ans, qui leur permet de travailler et de se réinsérer dans la société. L'équipe du CAARUD va également à la rencontre des personnes dans la rue et travaille avec d'autres organisations pour les aider."
CAARUD Aurore,"Le CAARUD Aurore est un lieu qui aide les personnes qui consomment des drogues. Il les accueille sans poser de questions et de manière anonyme. L'équipe du CAARUD informe et conseille ces personnes pour réduire les risques liés à leur consommation. Elle leur donne accès aux soins de santé, à l'hygiène et aux droits. Elle leur donne aussi des outils pour se protéger des infections et des overdoses. Une partie de l'équipe ramasse les seringues et les petits objets dans les rues pour nettoyer la ville."
Toilettes publiques,Il semble qu'il n'y ait pas de texte à simplifier. Pourriez-vous me fournir le texte que vous souhaitez que je réécrive en langage clair et accessible à tous ? Je serai ravi de vous aider.
Toilettes publiques,Il semble qu'il n'y ait pas de texte à simplifier. Pourriez-vous me fournir le texte que vous souhaitez que je réécrive en langage clair et accessible à tous ? Je serai ravi de vous aider.
CMP Pantin,"Le Centre médico-psychologique (CMP) de Pantin offre des consultations pour les personnes ayant des problèmes de santé mentale. Des professionnels de la santé comme des psychiatres, des psychologues, des infirmières et des assistants sociaux travaillent ensemble pour aider les patients. Le CMP a deux objectifs : soigner et prévenir les problèmes de santé mentale. Les consultations sont gratuites et prises en charge par la sécurité sociale, et les personnes peuvent venir sans donner leur nom."
Restos du Coeur - Centre d’activités d'Aubervilliers,"Les centres d’activités offrent de l’aide en cas d’urgence et pour aider les gens à s’intégrer dans la société. Ils proposent : un accueil chaleureux, une écoute attentive, de la nourriture pour ceux qui en ont besoin, une aide pour les problèmes matériels, des conseils pour trouver son chemin, un accompagnement pour chercher un emploi, partir en vacances, apprendre le français, utiliser les ordinateurs et internet, et une distribution de nourriture pour les personnes dans le besoin."
