service_id;place_id;place_name;place_status;full_url;place_created_at;place_updated_at;organization_id;organization_name;network_name;source_info;service_name;subcategory;category_name;social_urgency;place_type;city;postal_code;department_code;zone_pat;epci_name;department_iso_code;longitude;latitude;publics_welcomed;prm;not_free;on_appointment;on_orientation;on_registration;on_restricted_access;schedules;description;service_description;;
6181a6d58ac6b179ffb9fe30;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Accueil de jour;Accueil de jour;Accueil;VRAI;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Non;Non;Non;Non;Non;Non;<div><i><U>1. Lundi</i></U> - 8:00-12:00, 13:00-16:15</div> <div><i><U>2. Mardi</i></U> - 8:00-12:00, 13:00-16:15</div> <div><i><U>3. Mercredi</i></U> - Fermé</div> <div><i><U>4. Jeudi</i></U> - 8:00-12:00, 13:00-16:15</div> <div><i><U>5. Vendredi</i></U> - 8:00-12:00, 13:00-16:15</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";"L'Accueil de jour, re&#231;oit de fa&#231;on inconditionnelle pendant la journ&#233;e des personnes (hommes et femmes)  sans domicile vivant &#224; Pantin (93), dans des communes voisines et &#224; Paris.&#10;Un accueil sp&#233;cifique r&#233;serv&#233; aux femmes a lieu le mardi apr&#232;s midi &#224; l&#8217;accueil de jour";;
6181a6d58ac6b179ffb9fe33;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Laverie;Laverie;Hygiène;VRAI;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Non;Non;Non;Non;Oui;Oui;<div><i><U>1. Lundi</i></U> - 8:00-12:00</div> <div><i><U>2. Mardi</i></U> - 8:00-12:00</div> <div><i><U>3. Mercredi</i></U> - 13:00-17:00</div> <div><i><U>4. Jeudi</i></U> - 8:00-12:00</div> <div><i><U>5. Vendredi</i></U> - 8:00-12:00</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";;;
6181a6d58ac6b179ffb9fe34;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Douche;Douche;Hygiène;VRAI;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Oui;Non;Non;Non;Oui;Oui;<div><i><U>1. Lundi</i></U> - 8:30-12:00</div> <div><i><U>2. Mardi</i></U> - 8:30-12:00</div> <div><i><U>3. Mercredi</i></U> - 13:00-17:00</div> <div><i><U>4. Jeudi</i></U> - 8:30-12:00</div> <div><i><U>5. Vendredi</i></U> - 8:30-12:00</div> <div><i><U>6. Samedi</i></U> - 8:30-12:00</div> <div><i><U>7. Dimanche</i></U> - 8:30-12:00</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";Sur inscription;;
6181a6d58ac6b179ffb9fe35;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Accompagnement social;;Conseil;FAUX;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Non;Non;Non;Non;Non;Non;<div><i><U>1. Lundi</i></U> - 8:30-11:45, 13:00-17:30</div> <div><i><U>2. Mardi</i></U> - 8:30-11:45, 13:00-17:00</div> <div><i><U>3. Mercredi</i></U> - 10:45-11:45, 13:00-17:30</div> <div><i><U>4. Jeudi</i></U> - 8:30-11:45, 13:00-17:30</div> <div><i><U>5. Vendredi</i></U> - 8:30-11:45, 13:00-17:30</div> <div><i><U>6. Samedi</i></U> - 8:30-11:45, 13:00-17:30</div> <div><i><U>7. Dimanche</i></U> - 8:30-11:45, 13:00-17:30</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";;;
6181a6d58ac6b179ffb9fe38;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Bagagerie;MATERIEL;Matériel;VRAI;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Oui;Non;Oui;Non;Oui;Oui;<div><i><U>1. Lundi</i></U> - 8:00-12:00, 13:00-16:30</div> <div><i><U>2. Mardi</i></U> - Fermé</div> <div><i><U>3. Mercredi</i></U> - Fermé</div> <div><i><U>4. Jeudi</i></U> - Fermé</div> <div><i><U>5. Vendredi</i></U> - 8:00-12:00, 13:00-16:30</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";;;
6181a6d58ac6b179ffb9fe3a;5a58c0c7c1797fe45e3772bc;Le Refuge de Pantin;En ligne;https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50;2018-01-12 14:05:59.000;2024-12-12 13:52:51.104;5fb647db3cb90874d9ab1bbe;Le Refuge de Pantin;Autre;Soliguide;Vêtements;;Matériel;VRAI;LIEU;Pantin;93500;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4191999;48.8940891;Inconditionnel;Non;Non;Non;Non;Non;Non;<div><i><U>1. Lundi</i></U> - Fermé</div> <div><i><U>2. Mardi</i></U> - Fermé</div> <div><i><U>3. Mercredi</i></U> - Fermé</div> <div><i><U>4. Jeudi</i></U> - Fermé</div> <div><i><U>5. Vendredi</i></U> - 14:00-17:30</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";"Un vestiaire pour hommes, femmes et enfants est propos&#233; &#224; l&#8217;accueil de jour le vendredi de 14h30 &#224; 16h30 sur inscription au pr&#233;alable.";;
6181a6d68ac6b179ffb9fe59;5a58c0c7c1797fe45e3772cf;Hors la rue - centre d'appui aux maraudes;En ligne;https://soliguide.fr/fr/fiche/hors-la-rue-montreuil-69;2018-01-12 14:05:59.000;2024-12-09 11:29:34.855;5fb647dd3cb90874d9ab1bbf;Hors la rue;Autre;Soliguide;Accompagnement social;CONSEIL;Conseil;FAUX;LIEU;Montreuil;93100;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4292906000000585;48.8558505;Exclusif;Oui;Non;Non;Oui;Non;Oui;<div><i><U>1. Lundi</i></U> - 10:00-17:00</div> <div><i><U>2. Mardi</i></U> - 10:00-17:00</div> <div><i><U>3. Mercredi</i></U> - 10:00-17:00</div> <div><i><U>4. Jeudi</i></U> - 10:00-17:00</div> <div><i><U>5. Vendredi</i></U> - Fermé</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Créé en 2004, Hors la rue est une association qui a pour objectif de repérer et d'accompagner les enfants et adolescents étrangers en danger et de faire respecter leurs droits. Elle propose:</p><p>- Des maraudes auprès de mineurs en situation de rue et d’errance</p><p>- Un accompagnement personnalisé et des actions éducatives</p><p>- Une orientation et un accompagnement vers le droit commun et la protection de l’enfance</p><p>- Un accueil sur rendez-vous avec l’équipe éducative au centre de jour d’appui aux maraudes situé à Montreuil</p><p>- De l'art-thérapie et un soutien psychologique</p><p>&nbsp;</p>";Accompagnement personnalisé et actions éducatives et Orientation et accompagnement vers le droit commun et la protection de l’enfance;;
6181a6d68ac6b179ffb9fe5a;5a58c0c7c1797fe45e3772cf;Hors la rue - centre d'appui aux maraudes;En ligne;https://soliguide.fr/fr/fiche/hors-la-rue-montreuil-69;2018-01-12 14:05:59.000;2024-12-09 11:29:34.855;5fb647dd3cb90874d9ab1bbf;Hors la rue;Autre;Soliguide;Psychologie;Santé;Santé;FAUX;LIEU;Montreuil;93100;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.4292906000000585;48.8558505;Exclusif;Oui;Non;Non;Oui;Non;Oui;<div><i><U>1. Lundi</i></U> - 10:00-17:00</div> <div><i><U>2. Mardi</i></U> - 10:00-17:00</div> <div><i><U>3. Mercredi</i></U> - 10:00-17:00</div> <div><i><U>4. Jeudi</i></U> - 10:00-17:00</div> <div><i><U>5. Vendredi</i></U> - Fermé</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Créé en 2004, Hors la rue est une association qui a pour objectif de repérer et d'accompagner les enfants et adolescents étrangers en danger et de faire respecter leurs droits. Elle propose:</p><p>- Des maraudes auprès de mineurs en situation de rue et d’errance</p><p>- Un accompagnement personnalisé et des actions éducatives</p><p>- Une orientation et un accompagnement vers le droit commun et la protection de l’enfance</p><p>- Un accueil sur rendez-vous avec l’équipe éducative au centre de jour d’appui aux maraudes situé à Montreuil</p><p>- De l'art-thérapie et un soutien psychologique</p><p>&nbsp;</p>";art-thérapie et soutien psychologique;;
6181a6da8ac6b179ffb9fee8;5a58c0c7c1797fe45e377312;CAARUD PROSES Saint-Denis;En ligne;https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136;2018-01-12 14:05:59.000;2024-11-13 11:22:19.436;5fb64ec53cb90874d9ab1d11;PROSES;Autre;Soliguide;Addiction;Addiction;Santé;FAUX;LIEU;Saint-Denis;93200;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.3530776;48.9382126;Exclusif;Oui;Non;Non;Non;Non;Non;<div><i><U>1. Lundi</i></U> - 12:00-17:30</div> <div><i><U>2. Mardi</i></U> - 15:00-18:30</div> <div><i><U>3. Mercredi</i></U> - 10:00-12:30</div> <div><i><U>4. Jeudi</i></U> - 14:00-19:00</div> <div><i><U>5. Vendredi</i></U> - 12:00-16:30</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le CAARUD (Centre d&#8217;Accueil et d&#8217;Accompagnement &#224; la R&#233;duction des Risque pour les Usagers de Drogues) PROSES est un &#233;tablissement m&#233;dico-social <strong>destin&#233; &#224; accueillir des usagers de drogues</strong> dont le but initial est de fournir un acc&#232;s &#224; du mat&#233;riel de r&#233;duction des risques ainsi que des conseils personnalis&#233;s, le tout dans un cadre anonyme confidentiel, et inconditionnel.</p><p><strong>L'accueil est anonyme, gratuit, et dit &#8220;&#224; bas seuil d'exigence&#8221; : toutes les personnes adultes et consommatrices des drogues d&#232;s 18 ans &#160;peuvent venir quelque soit &#160;leur &#233;tat physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique, &#160;opinions politiques, appartenance religieuse etc.</strong></p>";"Accueil&#160;anonyme et inconditionnel et accompagnement des&#160;personnes qui&#160;pr&#233;sentent des consommations addictives. R&#233;duction des risques, distribution de mat&#233;riel.";;
6181a6da8ac6b179ffb9fee9;5a58c0c7c1797fe45e377312;CAARUD PROSES Saint-Denis;En ligne;https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136;2018-01-12 14:05:59.000;2024-11-13 11:22:19.436;5fb64ec53cb90874d9ab1d11;PROSES;Autre;Soliguide;Accueil de jour;;Accueil;VRAI;LIEU;Saint-Denis;93200;93;PAT du Département de Seine-Saint-Denis;Métropole du Grand Paris;FR-93;2.3530776;48.9382126;Exclusif;Oui;Non;Non;Non;Non;Non;<div><i><U>1. Lundi</i></U> - 12:00-17:30</div> <div><i><U>2. Mardi</i></U> - 15:00-18:30</div> <div><i><U>3. Mercredi</i></U> - 10:00-12:30</div> <div><i><U>4. Jeudi</i></U> - 14:00-19:00</div> <div><i><U>5. Vendredi</i></U> - 12:00-16:30</div> <div><i><U>6. Samedi</i></U> - Fermé</div> <div><i><U>7. Dimanche</i></U> - Fermé</div>;"<p>Le CAARUD (Centre d&#8217;Accueil et d&#8217;Accompagnement &#224; la R&#233;duction des Risque pour les Usagers de Drogues) PROSES est un &#233;tablissement m&#233;dico-social <strong>destin&#233; &#224; accueillir des usagers de drogues</strong> dont le but initial est de fournir un acc&#232;s &#224; du mat&#233;riel de r&#233;duction des risques ainsi que des conseils personnalis&#233;s, le tout dans un cadre anonyme confidentiel, et inconditionnel.</p><p><strong>L'accueil est anonyme, gratuit, et dit &#8220;&#224; bas seuil d'exigence&#8221; : toutes les personnes adultes et consommatrices des drogues d&#232;s 18 ans &#160;peuvent venir quelque soit &#160;leur &#233;tat physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique, &#160;opinions politiques, appartenance religieuse etc.</strong></p>";;;
