place_name,full_url,service_name,service_attribue
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Accueil de jour,Accueil de jour
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Laverie,
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Douche,Aucun service adapté
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Accompagnement social,
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Bagagerie,
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Vêtements,Vêtements
Hors la rue - centre d'appui aux maraudes,'https://soliguide.fr/fr/fiche/hors-la-rue-montreuil-69',Accompagnement social,Accompagnement social
Hors la rue - centre d'appui aux maraudes,'https://soliguide.fr/fr/fiche/hors-la-rue-montreuil-69',Psychologie,Psychologie
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Addiction,Addiction
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Accueil de jour,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Douche,Douche
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Accompagnement social,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Laverie,Laverie
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Dépistage,Dépistage
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Psychologie,Psychologie
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Infirmerie,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Accompagnement à l'emploi,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Toilettes,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Conseil logement,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Conseil administratif,Conseil administratif
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Permanence juridique,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Domiciliation,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Prise,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Wifi,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Ordinateur,Ordinateur
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Activités diverses,Addiction
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Activités diverses,Activités diverses
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Addiction,Addiction
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Accueil de jour,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Accompagnement social,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Espace de repos,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Bibliothèque,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Ordinateur,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Infirmerie,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Douche,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Laverie,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Psychologie,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Addiction,Addiction
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Accueil de jour,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Infirmerie,Infirmerie
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Dépistage,Addiction
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Douche,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Laverie,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Toilettes,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Ordinateur,Point d'information et d’orientation
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Accueil de jour,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Coffre-fort numérique,Coffre-fort numérique
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Activités diverses,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Addiction,Accueil de jour
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Accueil de jour,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Conseil administratif,Point d'information et d’orientation
