place_name,full_url,service_name,service_attribue
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Laverie,
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Douche,Aucun service adapté
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Accompagnement social,
Le Refuge de Pantin,'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50',Bagagerie,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Accueil de jour,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Infirmerie,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Accompagnement à l'emploi,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Toilettes,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Conseil logement,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Permanence juridique,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Domiciliation,Accompagnement social
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Prise,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Wifi,
CAARUD PROSES Saint-Denis,'https://soliguide.fr/fr/fiche/caarud-proses-saint-denis-136',Activités diverses,Addiction
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Accueil de jour,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Accompagnement social,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Espace de repos,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Bibliothèque,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Ordinateur,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Infirmerie,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Douche,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Laverie,
CAARUD PROSES Montreuil,'https://soliguide.fr/fr/fiche/caarud-proses-montreuil-137',Psychologie,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Accueil de jour,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Dépistage,Addiction
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Douche,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Laverie,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Toilettes,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Ordinateur,Point d'information et d’orientation
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Accueil de jour,
CAARUD Yucca,'https://soliguide.fr/fr/fiche/caarud-yucca-bondy-138',Activités diverses,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Addiction,Accueil de jour
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Accueil de jour,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Conseil administratif,Point d'information et d’orientation
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Douche,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Wifi,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Prise,
CAARUD Aurore,'https://soliguide.fr/fr/fiche/caarud-aurore-aulnay-sous-bois-139',Toilettes,
Toilettes publiques,'https://soliguide.fr/fr/fiche/sanisette-saint-ouen-1361',Toilettes,
Toilettes publiques,'https://soliguide.fr/fr/fiche/sanisette-paris-1543',Toilettes,
CMP Pantin,'https://soliguide.fr/fr/fiche/cmp-pantin-2177',Psychologie,
Restos du Coeur - Centre dactivités d'Aubervilliers,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-aubervilliers-2362',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités d'Aulnay-sous-Bois,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-aulnay-sous-bois-2363',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Bondy,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-bondy-2365',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Drancy,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-drancy-2366',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Drancy,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-drancy-2366',Toilettes,
Restos du Coeur - Centre dactivités de Drancy,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-drancy-2366',Prise,
Restos du Coeur - Centre dactivités de Drancy,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-drancy-2366',Activités diverses,
Restos du Coeur - Centre dactivités de La Courneuve,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-la-courneuve-2368',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de La Courneuve,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-la-courneuve-2368',Bibliothèque,
Restos du Coeur - Centre dactivités du Pré-Saint-Gervais,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-le-pre-saint-gervais-2370',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités du Pré-Saint-Gervais,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-le-pre-saint-gervais-2370',Accompagnement social,
Restos du Coeur - Centre dactivités des Lilas,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-les-lilas-2371',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Noisy-le-Grand,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-grand-2372',Colis alimentaire,Épicerie sociale et solidaire
Restos du Coeur - Centre dactivités de Noisy-le-Grand,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-grand-2372',Prise,
Restos du Coeur - Centre dactivités de Noisy-le-Grand,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-grand-2372',Fontaine à eau,
Restos du Coeur - Centre dactivités de Noisy-le-Grand,'https://soliguide.fr/fr/fiche/centre-de-distribution-des-restos-du-coeur-noisy-le-grand-2372',Bibliothèque,
