place_name,texte_fautif,explication
Le Refuge de Pantin,d'une pension de famille et et d'un centre d'hébergement d'urgence,répétition du mot 'et'
Hors la rue - centre d'appui aux maraudes,,
CAARUD PROSES Saint-Denis,quelque soit,"erreur d'orthographe, devrait être 'quelle que soit'"
CAARUD PROSES Saint-Denis,dès 18 ans,"expression peu claire, devrait être 'à partir de 18 ans'"
CAARUD PROSES Saint-Denis,dit “à bas seuil d'exigence”,"expression peu claire, devrait être 'dénommé “à bas seuil d'exigence”' ou 'appelé “à bas seuil d'exigence”'"
CAARUD PROSES Saint-Denis,consommatrices des drogues,"accord de genre, devrait être 'consommateurs ou consommatrices de drogues' ou 'personnes consommant des drogues'"
CAARUD PROSES Saint-Denis,"tenue vestimentaire, orientation sexuelle, origine ethnique,  opinions politiques, appartenance religieuse etc.","utilisation abusive du mot 'etc.', devrait être explicité ou remplacé par une phrase plus claire"
CAARUD PROSES Montreuil,,
CAARUD Yucca,,
CAARUD Aurore,usagers de drogues Il,manque de conjonction de coordination ou de ponctuation pour lier les deux phrases
CAARUD Aurore,usagers de drogues notamment,manque de virgule après 'drogues' pour isoler l'adverbe 'notamment'
CAARUD Aurore,accès à l’hygiène et aux soins de première nécessité,"aucune erreur détectée dans ce fragment, mais il pourrait être utile de préciser 'première nécessité' avec des guillemets ou en italique pour indiquer qu'il s'agit d'une expression spécifique"
CAARUD Aurore,Une équipe est dédiée au ramassage de seringues et petits matériels,manque d'accord de l'adjectif 'petits' avec le nom 'matériels' : 'petits matériels' devrait être 'petits matériaux' ou 'du petit matériel' pour être correct
Toilettes publiques,,
Toilettes publiques,,
CMP Pantin,,
Restos du Coeur - Centre d’activités d'Aubervilliers,,
Restos du Coeur - Centre d’activités d'Aulnay-sous-Bois,,
Restos du Coeur - Centre d’activités de Bondy,,
Restos du Coeur - Centre d’activités de Drancy,,
Restos du Coeur - Centre d’activités de La Courneuve,,
Restos du Coeur - Centre d’activités du Pré-Saint-Gervais,,
Restos du Coeur - Centre d’activités des Lilas,,
Restos du Coeur - Centre d’activités de Noisy-le-Grand,,
Restos du Coeur - Centre d’activités de Noisy-le-Sec,,
Restos du Coeur - Centre d’activités de Pantin,,
Restos du Coeur - Centre d’activités de Pierrefitte,,
Restos du Coeur - Centre d’activités de Saint-Denis,,
Restos du Coeur - Centre d’activités de Saint-Ouen,,
Restos du Coeur - Centre d’activités de Stains,,
Restos du Coeur - Centre d’activités de Tremblay-en-France,,
Restos du Coeur - Centre d’activités de Villepinte,,
Le Pôle Social,une l'épicerie,erreur d'accord : 'un' au lieu de 'une' ou suppression de 'l''
Restos du Coeur - Centre d’activités du Bourget,,
Restos du Coeur - Centre d’activités de Neuilly-sur-Marne,,
Restos du Coeur - Centre d’activités de Montreuil,,
Restos du Coeur - Centre d’activités de Sevran,,
Association Speranza,ouverture,"le mot 'ouverture' n'est pas présent, mais 'ouvert' est correct, cependant 'du lundi au vendredi' devrait être 'du lundi au vendredi inclus' ou simplement 'du lundi au vendredi' est correct mais 'l'épicerie est ouverte' serait plus logique"
Association Speranza,réservée,"l'accord de 'réservée' avec 'l'accès' est incorrect, il faudrait 'est réservé' pour un accord correct avec 'l'accès' qui est masculin"
Boutique Coup de Main - Pantin,,
Boutique Coup de Main - Bagnolet,,
Habitat-Cité,,
Association Ikambere « La Maison Accueillante »,,
SPADA 93,,
Mission Locale d'Aubervilliers / AISPJA,,
Mission Locale La Lyr - Bobigny,,
SOS Victimes 93 - Point d'accès aux droits,,
Mission Locale Paris Terres d'Envol - Antenne du Blanc-Mesnil,,
Mission Locale Paris Terres d'Envol - Antenne de Drancy,à l’étrange,"erreur d'orthographe, devrait être 'à l'étranger'"
PASS - GHI Montfermeil,médecine spécialisé,accord de genre : spécialisée
PASS - GHI Montfermeil,ordonnance médical,accord de genre : médicale
PASS - GHI Montfermeil,Des consultations de médecine spécialisé,meilleure formulation : Des consultations de médecine spécialisée
PASS - GHI Montfermeil,remise de médicaments sur ordonnance médical,meilleure formulation : remise de médicaments sur ordonnance médicale
La Place Santé,,
Mission Locale Intercommunale - antenne de Bondy,pouvant bénéficier d’un accompagnement personnalisé par un conseiller,manque de conjonction de coordination pour relier les deux parties de la phrase
Mission Locale Intercommunale - antenne de Bondy,Accueille les jeunes de Bondy,"manque de verbe conjugué pour introduire la phrase, utilisez 'La Mission locale accueille' pour la cohérence"
point-justice du Pré Saint-Gervais,,
Mission Locale CODE - antenne d'Épinay-sur-Seine,,
Mission Locale CODE- antenne de Saint-Ouen-sur-Seine,,
PASS - Hôpital Avicenne,,
Mission Locale CODE - antenne de Villetaneuse,,
PASS - Hôpital Jean Verdier,,
point-justice de Livry-Gargan,,
Mission Locale de La Courneuve,,
PASS - CHI Robert Ballanger,médecine spécialisé,accord de genre : spécialisée
PASS - CHI Robert Ballanger,ordonnance médical,accord de genre : médicale
PASS - CHI Robert Ballanger,La difficulté d’accès ou de recours aux soins,reformulation possible pour plus de clarté : Les difficultés d'accès ou de recours aux soins
PASS - CHI Robert Ballanger,Des consultations de médecine spécialisé,reformulation possible pour plus de clarté : Des consultations de médecine spécialisée
PASS - CHI Robert Ballanger,La rupture du lien social,reformulation possible pour plus de clarté : La rupture des liens sociaux
PASS - CHI Robert Ballanger,L’absence de logement stable ou logement précaire,reformulation possible pour plus de clarté : L'absence de logement stable ou le logement précaire
PASS - CHI Robert Ballanger,Problème(s) de la couverture social,reformulation possible pour plus de clarté : Des problèmes de couverture sociale
Mission Locale de la Dhuys - Clichy-sous-Bois,,
point-justice de Drancy,,
PASS - Centre hospitalier de Saint-Denis Delafontaine,,
Mission Locale Intercommunale - antenne de Montreuil,,
Maison des services publics de Montfermeil,,
Mission Locale de la Lyr - Pantin,La Mission locale de la Lyr,"Manque de précision sur le nom de la mission locale, probablement 'La Mission locale de la Lyre' ou une erreur de typographie"
Mission Locale de la Lyr - Pantin,La Mission locale de la Lyr vous aide,Même erreur de typographie ou de nom que précédemment
Mission Locale de la Lyr - Pantin,La Mission Locale de la Lyr,Même erreur de typographie ou de nom que précédemment et problème d'accord de majuscule/minuscule
Mission Locale de la Marne aux Bois - Rosny,,
point-justice de Montreuil Centre-Ville,,
Mission Locale CODE - antenne de Pierreﬁtte,,
Mission Locale CODE - Saint-Denis (Siège),,
Bureau d'accompagnement vers l'emploi,,
Planning Familial 93,spéciﬁques,"erreur de caractère spécial, remplacer par 'spécifiques'"
Planning Familial 93,IVG,"acronyme non explicité, ajouter une explication pour les non-initiés, par exemple 'Interruption Volontaire de Grossesse'"
Planning Familial 93,inceste…,"point de suspension inutile, remplacer par 'inceste'"
Planning Familial 93,Formations. .,"espace inutile, remplacer par 'Formations.'"
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,"les mardi, mercredi et jeudi","accord de genre : les mardis, mercredis et jeudis"
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,aux  rendez-vous individuel,accord de genre : aux rendez-vous individuels
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,aux ateliers collectifs sur inscriptions,précision : sur inscription
SOS Femmes 93  - Lieu d'Accueil et d'Orientation,"qui dispense une écoute confidentielle et anonyme, du lundi au vendredi de 14h à 17h","cohérence des horaires : la permanence téléphonique est déjà mentionnée comme étant du lundi au vendredi de 14h à 17h, il n'est pas nécessaire de le répéter"
