incoherence_jour_horaire;full_url;service_name;place_name
vendredi: 14:30;'https://soliguide.fr/fr/fiche/le-refuge-de-pantin-50';Vêtements;Le Refuge de Pantin
"mardi: 10:00; mercredi: 14:00";'https://soliguide.fr/fr/fiche/association-ikambere-la-maison-accueillante-saint-denis-2661';Activités diverses;Association Ikambere « La Maison Accueillante »
"lundi: 14:00; vendredi: 14:00";'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Psychologie;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
"mardi: 9:15; mardi: 12:15; mardi: 17:15; samedi: 9:15";'https://soliguide.fr/fr/fiche/neptune-montreuil-2868';Magasin solidaire;Neptune
"lundi: 14:00; lundi: 16:00";'https://soliguide.fr/fr/fiche/centre-social-et-culturel-anne-frank-bagnolet-2956';Bien-être;Centre Social et Culturel Anne Frank
mardi: 09:30;'https://soliguide.fr/fr/fiche/maison-de-justice-et-du-droit-aubervilliers-3022';Écrivain public;Maison de  Justice et du Droit d'Aubervilliers
"mardi: 14:00; mercredi: 18:00";'https://soliguide.fr/fr/fiche/maison-de-quartier-des-quatre-chemins-pantin-3051';Permanence juridique;Maison de quartier des Quatre-Chemins - antenne Vaillant
"mardi: 14:30; samedi: 09:00";'https://soliguide.fr/fr/fiche/maison-de-quartier-de-la-plaine-saint-denis-5221';Activités diverses;Maison de quartier de La Plaine
mardi: 09:00;'https://soliguide.fr/fr/fiche/maison-de-quartier-du-landy-saint-ouen-7147';Cours de français;Maison de Quartier du Landy
vendredi: 09:30;'https://soliguide.fr/fr/fiche/centre-social-louise-michel-neuilly-sur-marne-7159';Garde d'enfants;Centre Social Louise Michel
mardi: 14:00;'https://soliguide.fr/fr/fiche/maison-pour-tous-youri-gagarine-la-courneuve-7172';Activités diverses;Maison pour tous Youri Gagarine
samedi: 09:00;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-elsa-rustin-bagnolet-8246';Kinésithérapie;Centre Municipal de Santé Elsa Rustin
"lundi: 08:00; vendredi: 08:00; samedi: 08:00";'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-cornet-pantin-8342';Généraliste;Centre Municipal de Santé (CMS) Isabet
"vendredi: 09:30; vendredi: 11:30";'https://soliguide.fr/fr/fiche/maison-de-quartier-pierre-semard-saint-denis-10696';Cours de français;Maison de quartier Pierre Sémard
mercredi: 09:30;'https://soliguide.fr/fr/fiche/espace-mikado-tremblay-en-france-11482';Activités diverses;Espace Mikado
mercredi: 14:30;'https://soliguide.fr/fr/fiche/secours-catholique-les-pavillons-sous-bois-3439';Activités diverses;Secours Catholique - Les Pavillons-sous-Bois
vendredi: 09:00;'https://soliguide.fr/fr/fiche/centre-social-et-culturel-les-coutures-bagnolet-2977';Permanence juridique;Centre Social et Culturel les Coutures
"jeudi: 18:30; mercredi: 14:30";'https://soliguide.fr/fr/fiche/centre-socioculturel-clara-zetkin-villetaneuse-7138';Activités sportives;Centre socioculturel Clara Zetkin
jeudi: 18:00;'https://soliguide.fr/fr/fiche/centre-socioculturel-clara-zetkin-villetaneuse-7138';Activités diverses;Centre socioculturel Clara Zetkin
vendredi: 10:30;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Conseil aux parents;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
samedi: 09:30;'https://soliguide.fr/fr/fiche/juris-secours-dugny-35032';Permanence juridique;Juris Secours Dugny
mercredi: 13:30;'https://soliguide.fr/fr/fiche/centre-municipal-de-sante-savattero-montreuil-7240';Accompagnement social;Centre Municipal de Santé (CMS) Savattero
vendredi: 09:00;'https://soliguide.fr/fr/fiche/pmi-hospitaliere-andre-gregoire-montreuil-6995';Suivi grossesse;Maternité de l'hôpital André Grégoire
mercredi: 09:00;'https://soliguide.fr/fr/fiche/circonscription-municipale-de-service-social-le-blanc-mesnil-3236';Permanence juridique;MAISON DEPARTEMENTALE DES SOLIDARITES Dugny/Le Bourget/ Le Blanc Mesnil. Site du Blanc-Mesnil
samedi: 09:00;'https://soliguide.fr/fr/fiche/centre-social-andre-malraux-villepinte-2940';Écrivain public;Centre Social André Malraux
"mercredi: 09:00; mercredi: 11:00; mercredi: 14:00; mercredi: 15:30; mardi: 13:30";'https://soliguide.fr/fr/fiche/centre-de-distribution-de-la-croix-rouge-livry-gargan-2398';Colis alimentaire;Croix-Rouge française - Antenne Locale de Sevigne la Dhuys
"mercredi: 09:00; mercredi: 11:00; mercredi: 14:00; mercredi: 15:30; mardi: 13:30";'https://soliguide.fr/fr/fiche/centre-de-distribution-de-la-croix-rouge-livry-gargan-2398';Colis alimentaire;Croix-Rouge française - Antenne Locale de Sevigne la Dhuys
"mardi: 09:00; mardi: 11:00";'https://soliguide.fr/fr/fiche/centre-de-distribution-de-la-croix-rouge-livry-gargan-2398';Magasin solidaire;Croix-Rouge française - Antenne Locale de Sevigne la Dhuys
"mardi: 09:00; mardi: 11:00";'https://soliguide.fr/fr/fiche/centre-de-distribution-de-la-croix-rouge-livry-gargan-2398';Magasin solidaire;Croix-Rouge française - Antenne Locale de Sevigne la Dhuys
