place_description_problem;service_description_problem;full_url;service_name;place_name
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Douche;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Laverie;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Écrivain public;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Permanence juridique;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/le-pole-social-epinay-sur-seine-2384';Conseil administratif;Le Pôle Social
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Accompagnement social;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Domiciliation;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Conseil administratif;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/spada-93-aubervilliers-2666';Dépistage;SPADA 93
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Généraliste;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Gynécologie;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Conseil administratif;La Place Santé
téléphone;;'https://soliguide.fr/fr/fiche/centre-de-sante-association-sante-bien-etre-saint-denis-2696';Activités diverses;La Place Santé
;téléphone;'https://soliguide.fr/fr/fiche/pass-de-hopital-avicenne-bobigny-2714';Accompagnement social;PASS - Hôpital Avicenne
téléphone;téléphone;'https://soliguide.fr/fr/fiche/pass-de-hopital-jean-verdier-paris-2744';Accompagnement social;PASS - Hôpital Jean Verdier
téléphone;;'https://soliguide.fr/fr/fiche/pass-de-hopital-jean-verdier-paris-2744';Généraliste;PASS - Hôpital Jean Verdier
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Accompagnement social;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Généraliste;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Dentaire;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Soins enfants;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Oto-rhino-laryngologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Ophtalmologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Stomatologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Rhumatologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Gastro-entérologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
téléphone;;'https://soliguide.fr/fr/fiche/pass-du-centre-hospitalier-de-saint-denis-2766';Gynécologie;PASS - Centre hospitalier de Saint-Denis Delafontaine
;téléphone;'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772';Permanence juridique;Maison des services publics de Montfermeil
;téléphone;'https://soliguide.fr/fr/fiche/maison-des-services-publics-de-montfermeil-2772';Conseil logement;Maison des services publics de Montfermeil
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Domiciliation;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Laverie;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Douche;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
téléphone;;'https://soliguide.fr/fr/fiche/sos-femmes-93-lieu-accueil-et-d-orientation-bondy-2789';Conseil administratif;SOS Femmes 93  - Lieu d'Accueil et d'Orientation
