place_description_problem;service_description_problem;place_id;service_id;service_name;place_name;place_description;service_description
;horaire;5a58c0c7c1797fe45e3772bc;6181a6d58ac6b179ffb9fe3a;Vêtements;Le Refuge de Pantin;"<p>Le Refuge a pour mission d'accueillir, d'héberger, d'accompagner en contribuant au renforcement, pour chacun, de la confiance en soi et de l’aptitude à côtoyer les autres dans la capacité d’agir et de vivre des moments d’apaisement.&nbsp;</p><p>Le Refuge dispose d'un accueil de jour, d'une pension de famille et et d'un centre d'hébergement d'urgence. <strong>L'accueil de jour est ouvert uniquement aux femmes le mardi après-midi.</strong></p>";"Un vestiaire pour hommes, femmes et enfants est propos&#233; &#224; l&#8217;accueil de jour le vendredi de 14h30 &#224; 16h30 sur inscription au pr&#233;alable."
;horaire;5a58c0c7c1797fe45e377312;6181a6da8ac6b179ffb9feea;Douche;CAARUD PROSES Saint-Denis;"<p>Le CAARUD (Centre d&#8217;Accueil et d&#8217;Accompagnement &#224; la R&#233;duction des Risque pour les Usagers de Drogues) PROSES est un &#233;tablissement m&#233;dico-social <strong>destin&#233; &#224; accueillir des usagers de drogues</strong> dont le but initial est de fournir un acc&#232;s &#224; du mat&#233;riel de r&#233;duction des risques ainsi que des conseils personnalis&#233;s, le tout dans un cadre anonyme confidentiel, et inconditionnel.</p><p><strong>L'accueil est anonyme, gratuit, et dit &#8220;&#224; bas seuil d'exigence&#8221; : toutes les personnes adultes et consommatrices des drogues d&#232;s 18 ans &#160;peuvent venir quelque soit &#160;leur &#233;tat physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique, &#160;opinions politiques, appartenance religieuse etc.</strong></p>";"2 douches.&#10;Se pr&#233;senter au moins 1h30 avant la fermeture de l'accueil."
;horaire;5a58c0c7c1797fe45e377312;6181a6da8ac6b179ffb9feec;Laverie;CAARUD PROSES Saint-Denis;"<p>Le CAARUD (Centre d&#8217;Accueil et d&#8217;Accompagnement &#224; la R&#233;duction des Risque pour les Usagers de Drogues) PROSES est un &#233;tablissement m&#233;dico-social <strong>destin&#233; &#224; accueillir des usagers de drogues</strong> dont le but initial est de fournir un acc&#232;s &#224; du mat&#233;riel de r&#233;duction des risques ainsi que des conseils personnalis&#233;s, le tout dans un cadre anonyme confidentiel, et inconditionnel.</p><p><strong>L'accueil est anonyme, gratuit, et dit &#8220;&#224; bas seuil d'exigence&#8221; : toutes les personnes adultes et consommatrices des drogues d&#232;s 18 ans &#160;peuvent venir quelque soit &#160;leur &#233;tat physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique, &#160;opinions politiques, appartenance religieuse etc.</strong></p>";"2 machines &#224; laver et 2 s&#232;che-linges.&#10;Se pr&#233;senter au moins 1h30 avant la fermeture de l'accueil."
;horaire;5a58c0c7c1797fe45e377312;6181a6da8ac6b179ffb9fefa;Activités diverses;CAARUD PROSES Saint-Denis;"<p>Le CAARUD (Centre d&#8217;Accueil et d&#8217;Accompagnement &#224; la R&#233;duction des Risque pour les Usagers de Drogues) PROSES est un &#233;tablissement m&#233;dico-social <strong>destin&#233; &#224; accueillir des usagers de drogues</strong> dont le but initial est de fournir un acc&#232;s &#224; du mat&#233;riel de r&#233;duction des risques ainsi que des conseils personnalis&#233;s, le tout dans un cadre anonyme confidentiel, et inconditionnel.</p><p><strong>L'accueil est anonyme, gratuit, et dit &#8220;&#224; bas seuil d'exigence&#8221; : toutes les personnes adultes et consommatrices des drogues d&#232;s 18 ans &#160;peuvent venir quelque soit &#160;leur &#233;tat physique, psychologique, tenue vestimentaire, orientation sexuelle, origine ethnique, &#160;opinions politiques, appartenance religieuse etc.</strong></p>";"<p>Chaque jeudi apr&#232;s-midi, de 16h30 &#224; 18h30.</p>"
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff06;Addiction;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";"Accueil&#160;anonyme et inconditionnel et accompagnement des&#160;personnes qui&#160;pr&#233;sentent des consommations addictives. Distribution de mat&#233;riels de r&#233;duction des risques, Espace de consommation d&#8217;alcool supervis&#233;e, Programme de vapotage"
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff07;Accueil de jour;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff08;Infirmerie;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";"Soins de premi&#232;re intention."
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff09;Dépistage;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";TROD VHC/VIH
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0a;Douche;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
horaire;;5a58c0c7c1797fe45e377314;6181a6da8ac6b179ffb9ff0b;Laverie;CAARUD Yucca;"<ul><li>Le CAARUD Yucca vise à accueillir et accompagner les usagers de drogues dans une démarche de <strong>Réduction Des Risques </strong>(RDR) liée à leur consommation de produits psychoactifs et leur situation sanitaire et sociale.</li><li>L'accueil collectif est ouvert lundi, mardi, jeudi et vendredi de 9h30 à 12h45 pour une collation, déjeuner, douche et machine à laver sur inscription.</li><li>Les mercredis matin et après-midi sont dédiés pour des ateliers pour les femmes&nbsp;</li><li>Le CAARUD porte aussi le dispositif TAPAJ : Travail alternatif payé à la journée : dispositif de réinsertion socio-professionnel des jeunes entre 18 et 25 ans</li><li>L'équipe du CAARUD effectue également des maraudes les après-midi ainsi que des interventions auprès de partenaires.</li></ul>";
