place_name,new_description
Le Refuge de Pantin,"Le Refuge est là pour aider les personnes dans le besoin. Il les accueille, les héberge et les accompagne pour les aider à retrouver confiance en elles et à mieux vivre avec les autres. Le Refuge propose différents services : un accueil de jour, une pension de famille et un hébergement d'urgence. L'accueil de jour est réservé aux femmes le mardi après-midi."
Hors la rue - centre d'appui aux maraudes,"Hors la rue est une association créée en 2004. Elle aide les enfants et adolescents étrangers en danger. Elle les aide à être en sécurité et à avoir leurs droits respectés. L'association propose : des visites pour aider les mineurs dans la rue, un accompagnement personnalisé, des activités éducatives, une aide pour accéder aux droits de l'enfant, des rencontres avec l'équipe éducative, de l'art-thérapie et un soutien psychologique."
CAARUD PROSES Saint-Denis,"Le CAARUD PROSES est un lieu qui aide les personnes qui consomment des drogues. Il offre du matériel pour réduire les risques et des conseils personnalisés dans un cadre confidentiel et anonyme. L'accueil est gratuit et ouvert à toutes les personnes de plus de 18 ans, quelle que soit leur situation, leur état de santé, leur apparence ou leurs opinions. Tout le monde est accepté sans jugement."
CAARUD PROSES Montreuil,Le CAARUD PROSES est un lieu qui aide les personnes qui consomment des drogues. Il les accueille sans poser de questions et de manière confidentielle. Vous pouvez prendre rendez-vous pour des soins médicaux les mardis et jeudis.
CAARUD Yucca,"Le CAARUD Yucca est un lieu qui aide les personnes qui consomment des drogues à réduire les risques pour leur santé et leur vie sociale. Il est ouvert du lundi au vendredi de 9h30 à 12h45 pour offrir un accueil chaleureux, un repas, une douche et une machine à laver. Le mercredi, des ateliers sont organisés spécialement pour les femmes. Le CAARUD propose également un programme appelé TAPAJ pour aider les jeunes de 18 à 25 ans à se réinsérer dans la vie professionnelle. L'équipe se déplace également dans les rues pour aider les personnes dans le besoin et travaille avec d'autres organisations pour offrir une aide complète."
CAARUD Aurore,"Le CAARUD Aurore est un lieu qui aide les personnes qui consomment des drogues. Il les accueille sans poser de questions et les aide à se protéger. L'équipe propose des soins de base, de l'information et des conseils pour réduire les risques liés à la consommation de drogues. Elle aide aussi à trouver des solutions pour avoir accès à des soins médicaux et à des droits de santé. Le CAARUD Aurore distribue également des matériel pour prévenir les infections et des médicaments pour éviter les overdoses. Une partie de l'équipe ramasse les seringues et les petits objets dans les rues pour nettoyer la ville."
Toilettes publiques,Il n'y a pas de texte à simplifier. Pourriez-vous me donner le texte que vous souhaitez que je simplifie ?
Toilettes publiques,Il n'y a pas de texte à simplifier. Pourriez-vous me donner le texte que vous souhaitez que je simplifie ? Je serai ravi de vous aider à le rendre plus clair et accessible à tous.
CMP Pantin,"Le Centre médico-psychologique de Pantin aide les personnes qui ont des problèmes de santé mentale. Des médecins, des psychologues, des infirmières et des assistants sociaux y travaillent ensemble. Ils proposent des consultations pour aider les gens à se sentir mieux. Le centre a deux buts : soigner et prévenir les problèmes de santé mentale. Les consultations sont gratuites et confidentielles, et la sécurité sociale les prend en charge."
Restos du Coeur - Centre d’activités d'Aubervilliers,"Les centres d'activités offrent de l'aide en cas de besoin urgent et pour s'intégrer dans la société. Ils proposent un accueil chaleureux, une écoute attentive, de la nourriture, des objets essentiels, des conseils et un accompagnement pour trouver un emploi, partir en vacances, apprendre le français, utiliser les outils numériques et recevoir de la nourriture."
